,value,metric,type
0,111.9121496693648,ade,ml
1,31.150863997551127,ade,ml
2,175.3630090271895,ade,ml
3,73.91169306434138,ade,ml
4,60.11108471394814,ade,ml
5,81.9946112729795,ade,ml
6,55.12621300031345,ade,ml
7,226.28530183854096,ade,ml
8,119.65563777996506,ade,ml
9,128.86314968144245,ade,ml
10,231.42149767889558,ade,ml
11,93.2270413900959,ade,ml
12,117.48851596422196,ade,ml
13,106.96536170425797,ade,ml
14,73.40493591094773,ade,ml
15,79.09825563242173,ade,ml
16,37.57252386382559,ade,ml
17,79.12343569666803,ade,ml
18,52.98425869706113,ade,ml
19,102.6399316052952,ade,ml
20,13.142545046979626,ade,ml
21,9.363255418641934,ade,ml
22,19.177095184433792,ade,ml
23,51.74555730179069,ade,ml
24,8.28531242426203,ade,ml
25,10.263930495072026,ade,ml
26,81.6421807082062,ade,ml
27,16.01986956837764,ade,ml
28,10.454190328469569,ade,ml
29,10.753129599745519,ade,ml
30,67.71739934135628,ade,ml
31,11.775221117703362,ade,ml
32,9.881581877841244,ade,ml
33,9.35915423796392,ade,ml
34,8.23143802313323,ade,ml
35,8.030394489645468,ade,ml
36,8.738789797482506,ade,ml
37,9.654837465238613,ade,ml
38,12.120760670612361,ade,ml
39,14.465054661682144,ade,ml
40,12.120777348952416,ade,ml
41,13.52436112034448,ade,ml
42,9.363257479937149,ade,ml
43,19.177106048824797,ade,ml
44,51.74555988050539,ade,ml
45,8.285308898577183,ade,ml
46,67.71738554754627,ade,ml
47,81.64217623848418,ade,ml
48,16.019871147983846,ade,ml
49,10.454207508244219,ade,ml
50,10.263934098446892,ade,ml
51,14.465057093013558,ade,ml
52,11.77521828130528,ade,ml
53,9.881578697124418,ade,ml
54,9.359160352362617,ade,ml
55,8.231440680913652,ade,ml
56,8.030396778391834,ade,ml
57,8.738790908923496,ade,ml
58,9.654849610540717,ade,ml
59,10.75312284521663,ade,ml
60,9.654838049992982,ade,ml
61,10.60828896062817,ade,ml
62,13.524362075868922,ade,ml
63,9.363260918026558,ade,ml
64,19.17709478771286,ade,ml
65,51.74556283550168,ade,ml
66,10.263937583156276,ade,ml
67,67.71740055044431,ade,ml
68,81.64218889066245,ade,ml
69,16.019872972966677,ade,ml
70,8.285309966483478,ade,ml
71,10.753108301260497,ade,ml
72,14.465058381839347,ade,ml
73,11.775217875970533,ade,ml
74,9.881577792293117,ade,ml
75,9.359164162153496,ade,ml
76,8.231430753188922,ade,ml
77,8.030395769308429,ade,ml
78,8.738794880403162,ade,ml
79,10.454193375237528,ade,ml
80,8.738790183422411,ade,ml
81,37.724045705688425,ade,ml
82,10.608286292977922,ade,ml
83,13.524356466343084,ade,ml
84,9.36326101138434,ade,ml
85,19.177096518521846,ade,ml
86,8.285303906353311,ade,ml
87,10.263937652683287,ade,ml
88,67.71739667704493,ade,ml
89,81.64218572025244,ade,ml
90,51.74555749998535,ade,ml
91,10.454199729511314,ade,ml
92,10.753125223834525,ade,ml
93,14.46505730310588,ade,ml
94,11.775219884082562,ade,ml
95,9.881577334384021,ade,ml
96,9.359164997482383,ade,ml
97,8.231431612806032,ade,ml
98,8.030396490276813,ade,ml
99,16.01987282938708,ade,ml
100,8.030396488745525,ade,ml
101,83.77414583541146,ade,ml
102,37.724046510858976,ade,ml
103,10.608285797171872,ade,ml
104,13.52435744662497,ade,ml
105,9.363261565092664,ade,ml
106,51.7455652732053,ade,ml
107,8.285304451090822,ade,ml
108,10.26393072358015,ade,ml
109,67.71739136651696,ade,ml
110,19.177104564347804,ade,ml
111,16.019866311596353,ade,ml
112,10.454206071343366,ade,ml
113,10.753128189486683,ade,ml
114,14.465057644866349,ade,ml
115,11.775216928383196,ade,ml
116,9.881577313498568,ade,ml
117,9.35915590816976,ade,ml
118,8.23143770292623,ade,ml
119,81.64218178034342,ade,ml
120,8.231434291361337,ade,ml
121,10.992647517887074,ade,ml
122,83.77415869561666,ade,ml
123,37.72404586856139,ade,ml
124,10.608295820032383,ade,ml
125,13.524367234812729,ade,ml
126,19.177101904002807,ade,ml
127,51.745563721119474,ade,ml
128,8.285316001495447,ade,ml
129,10.26392820823463,ade,ml
130,9.363259010012031,ade,ml
131,81.64217816848979,ade,ml
132,16.019865721159988,ade,ml
133,10.454202632901405,ade,ml
134,10.75313588817856,ade,ml
135,14.465058077020577,ade,ml
136,11.775218260299356,ade,ml
137,9.881579197922216,ade,ml
138,9.359158788652168,ade,ml
139,67.71738810641801,ade,ml
140,9.359160079121297,ade,ml
141,8.443998344285111,ade,ml
142,10.992643150484673,ade,ml
143,83.77414643070958,ade,ml
144,37.72404398105457,ade,ml
145,10.608289464952485,ade,ml
146,9.363259977268022,ade,ml
147,19.1771040601756,ade,ml
148,51.74556122588255,ade,ml
149,8.285304468954978,ade,ml
150,13.524357195166635,ade,ml
151,67.71738744041775,ade,ml
152,81.64217771857217,ade,ml
153,16.019874337864582,ade,ml
154,10.45420848115599,ade,ml
155,10.753119964259481,ade,ml
156,14.465056434258583,ade,ml
157,11.775219013098194,ade,ml
158,9.88157945626172,ade,ml
159,10.263934302470162,ade,ml
160,9.881579061996566,ade,ml
161,5.667807778935059,ade,ml
162,8.444004988318722,ade,ml
163,10.992650894865582,ade,ml
164,83.7741563639049,ade,ml
165,37.72404508269924,ade,ml
166,13.52436559261402,ade,ml
167,9.363258496420928,ade,ml
168,19.1771017383228,ade,ml
169,51.74555823165888,ade,ml
170,10.608293873487904,ade,ml
171,10.263933323732056,ade,ml
172,67.71738989416107,ade,ml
173,81.64217977891367,ade,ml
174,16.019867122295953,ade,ml
175,10.45420470259934,ade,ml
176,10.753128050285307,ade,ml
177,14.465058007058362,ade,ml
178,11.775217973147306,ade,ml
179,8.285313801214842,ade,ml
180,11.775219491022199,ade,ml
181,8.164524658104472,ade,ml
182,5.66780867845393,ade,ml
183,8.44399406091941,ade,ml
184,10.992644528815276,ade,ml
185,83.77415537051112,ade,ml
186,10.608290582056883,ade,ml
187,13.524357632734427,ade,ml
188,9.363259987410983,ade,ml
189,19.17709823036,ade,ml
190,37.72404375796048,ade,ml
191,8.285304657418484,ade,ml
192,10.26393476776221,ade,ml
193,67.71740102396996,ade,ml
194,81.6421891470108,ade,ml
195,16.019874509690457,ade,ml
196,10.454189295693313,ade,ml
197,10.753116804895887,ade,ml
198,14.465056909232173,ade,ml
199,51.74555901241055,ade,ml
200,14.465055901992761,ade,ml
201,10.840905304167121,ade,ml
202,8.16452539788075,ade,ml
203,5.667809289104606,ade,ml
204,8.443997009596156,ade,ml
205,10.9926490831808,ade,ml
206,37.724045882936394,ade,ml
207,10.608292681242853,ade,ml
208,13.524363872348504,ade,ml
209,9.363257785450097,ade,ml
210,83.77415261253861,ade,ml
211,51.74556139807344,ade,ml
212,8.285311931098105,ade,ml
213,10.263932600463379,ade,ml
214,67.71738640636475,ade,ml
215,81.64217474156435,ade,ml
216,16.019867976569053,ade,ml
217,10.45420167658151,ade,ml
218,10.75311929848584,ade,ml
219,19.177100619047167,ade,ml
220,10.753138480001665,ade,ml
221,13.19385595805385,ade,ml
222,10.84092685167861,ade,ml
223,8.164533744570939,ade,ml
224,5.6678097953210616,ade,ml
225,8.444020294331272,ade,ml
226,83.77415296167578,ade,ml
227,37.7240472773564,ade,ml
228,10.608291927508768,ade,ml
229,13.524361691657433,ade,ml
230,10.99264478752029,ade,ml
231,19.17709546848201,ade,ml
232,51.74556098835772,ade,ml
233,8.285306452097087,ade,ml
234,10.26393333873378,ade,ml
235,67.71738024542428,ade,ml
236,81.64217949294071,ade,ml
237,16.019878094723847,ade,ml
238,10.45421712676673,ade,ml
239,9.36325678501454,ade,ml
240,10.454182086993718,ade,ml
241,104.59190188972337,ade,ml
242,13.19385074592004,ade,ml
243,10.840900301481623,ade,ml
244,8.164522954748666,ade,ml
245,5.667808782940006,ade,ml
246,10.992654605852685,ade,ml
247,83.77415201945787,ade,ml
248,37.724052072712276,ade,ml
249,10.608291246514918,ade,ml
250,8.443984857971929,ade,ml
251,9.363260147377863,ade,ml
252,19.177096380826885,ade,ml
253,51.7455606719341,ade,ml
254,8.28530834781897,ade,ml
255,10.263928046749477,ade,ml
256,67.71740401172987,ade,ml
257,81.64218127566689,ade,ml
258,16.019861685271334,ade,ml
259,13.524360148594434,ade,ml
260,16.01986647007434,ade,ml
261,16.092134698523704,ade,ml
262,104.59190239852954,ade,ml
263,13.193850548242603,ade,ml
264,10.840896896073597,ade,ml
265,8.164521509353117,ade,ml
266,8.443983508949723,ade,ml
267,10.992648838705795,ade,ml
268,83.77415239035051,ade,ml
269,37.72404750950877,ade,ml
270,5.66780860521774,ade,ml
271,13.524362472489125,ade,ml
272,9.363262229047374,ade,ml
273,19.177099612379802,ade,ml
274,51.745560734280076,ade,ml
275,8.28530862232061,ade,ml
276,10.263931542059808,ade,ml
277,67.71740685104125,ade,ml
278,81.64218349579903,ade,ml
279,10.608292269676877,ade,ml
280,81.642184286283,ade,ml
281,79.97509140923465,ade,ml
282,16.092137089431173,ade,ml
283,104.59190352054377,ade,ml
284,13.19385073386362,ade,ml
285,10.8409106332743,ade,ml
286,5.667808892292595,ade,ml
287,8.444002473457148,ade,ml
288,10.992652983442804,ade,ml
289,83.77415148105507,ade,ml
290,8.164527420046234,ade,ml
291,10.608292646440024,ade,ml
292,13.524361169050556,ade,ml
293,9.363263802938906,ade,ml
294,19.17710077158425,ade,ml
295,51.74556194339261,ade,ml
296,8.285308907273391,ade,ml
297,10.263937416066206,ade,ml
298,67.71739566910797,ade,ml
299,37.724041690123386,ade,ml
300,67.71740141763475,ade,ml
301,4.803399652460427,ade,ml
302,79.97509333309283,ade,ml
303,16.0921395485496,ade,ml
304,104.59189740166615,ade,ml
305,13.193853298139372,ade,ml
306,8.164523402535936,ade,ml
307,5.6678091186617685,ade,ml
308,8.443988258530986,ade,ml
309,10.9926530021487,ade,ml
310,10.840902109649521,ade,ml
311,37.72405098190324,ade,ml
312,10.608291888192108,ade,ml
313,13.524362753428363,ade,ml
314,9.36326126823358,ade,ml
315,19.177094221211632,ade,ml
316,51.745559543172135,ade,ml
317,8.285308927893919,ade,ml
318,10.263929961522026,ade,ml
319,83.77415347653921,ade,ml
320,67.55321256745117,ade,ml
321,498.68328860371275,ade,ml
322,313.53309947651934,ade,ml
323,342.4628338042825,ade,ml
324,238.5386975416623,ade,ml
325,384.00796016743334,ade,ml
326,559.949216458309,ade,ml
327,376.56096182425335,ade,ml
328,122.93947253285187,ade,ml
329,305.3643333885694,ade,ml
330,412.13251850084447,ade,ml
331,391.1423712740049,ade,ml
332,365.08924605102135,ade,ml
333,373.57117681833,ade,ml
334,91.01076940325022,ade,ml
335,46.48509652380323,ade,ml
336,48.02128368170847,ade,ml
337,88.50074271636879,ade,ml
338,45.350152320606945,ade,ml
339,208.17119805845905,ade,ml
340,45.350155022607225,ade,ml
341,508.42452802291217,ade,ml
342,498.6832776778278,ade,ml
343,313.53311553207254,ade,ml
344,342.4628435149454,ade,ml
345,238.5386792389686,ade,ml
346,412.1325294838653,ade,ml
347,559.9492121975591,ade,ml
348,376.5609728078814,ade,ml
349,122.939469686042,ade,ml
350,384.0079711532601,ade,ml
351,208.17128168022364,ade,ml
352,391.14237121370417,ade,ml
353,365.0892462155404,ade,ml
354,373.57117255159574,ade,ml
355,91.01075996549838,ade,ml
356,46.48509649737843,ade,ml
357,48.02128219487195,ade,ml
358,88.50076205469462,ade,ml
359,305.3643323190085,ade,ml
360,88.50076285708421,ade,ml
361,306.30727883264035,ade,ml
362,508.4245300802534,ade,ml
363,498.6832782727533,ade,ml
364,313.5331104037801,ade,ml
365,342.46284478601314,ade,ml
366,384.00797112836705,ade,ml
367,412.1325293454204,ade,ml
368,559.94921175626,ade,ml
369,376.56097290963004,ade,ml
370,238.5386813628411,ade,ml
371,305.3643329282136,ade,ml
372,208.17128201400817,ade,ml
373,391.14237091711493,ade,ml
374,365.08924934178907,ade,ml
375,373.57117223978366,ade,ml
376,91.01076286620925,ade,ml
377,46.48510250685488,ade,ml
378,48.02128785678375,ade,ml
379,122.93946964176244,ade,ml
380,48.02129675280142,ade,ml
381,298.062071250306,ade,ml
382,306.307283244125,ade,ml
383,508.4245288259761,ade,ml
384,498.6832740953586,ade,ml
385,313.53311413472244,ade,ml
386,238.53868530661194,ade,ml
387,384.00797481271303,ade,ml
388,412.13253313102786,ade,ml
389,559.949214702253,ade,ml
390,342.46284844645487,ade,ml
391,122.93946588815567,ade,ml
392,305.36433212954216,ade,ml
393,208.17127889181333,ade,ml
394,391.14237074530996,ade,ml
395,365.08924764626886,ade,ml
396,373.5711760323727,ade,ml
397,91.01076436143045,ade,ml
398,46.48511204884685,ade,ml
399,376.56098029360624,ade,ml
400,46.48508812445572,ade,ml
401,137.60561205544403,ade,ml
402,298.0620600941318,ade,ml
403,306.30727210098706,ade,ml
404,508.42452898632115,ade,ml
405,498.68326948892445,ade,ml
406,342.4628533229123,ade,ml
407,238.53869067873748,ade,ml
408,384.00797967040967,ade,ml
409,412.1325378739255,ade,ml
410,313.53311891332356,ade,ml
411,376.56097002192837,ade,ml
412,122.93946944466968,ade,ml
413,305.3643332076887,ade,ml
414,208.17127268167408,ade,ml
415,391.14237183470595,ade,ml
416,365.08924866279034,ade,ml
417,373.5711745367201,ade,ml
418,91.01074856403,ade,ml
419,559.9492061199136,ade,ml
420,91.01075762301413,ade,ml
421,109.4680297980806,ade,ml
422,137.60561682058633,ade,ml
423,298.06207034504126,ade,ml
424,306.3072848727904,ade,ml
425,508.42453160002657,ade,ml
426,313.5331164907533,ade,ml
427,342.46285088708896,ade,ml
428,238.53868817851352,ade,ml
429,384.0079772316041,ade,ml
430,498.6832718574064,ade,ml
431,559.9492178430456,ade,ml
432,376.56098282598623,ade,ml
433,122.9394710996966,ade,ml
434,305.36433331193683,ade,ml
435,208.17127592025705,ade,ml
436,391.1423707422993,ade,ml
437,365.08924781617475,ade,ml
438,373.5711713502371,ade,ml
439,412.1325354470987,ade,ml
440,373.5711714890527,ade,ml
441,216.83970233701677,ade,ml
